Book ID,Title,Authors,Stars,Ratings,Reviews,Description,Cover
BOOK_J4W3YTU4KZ,"Keigo Higashino Collection Box: The Devotion of Suspect X, Salvation of a Saint, Malice","Keigo Higashino, ",4.41,184,18,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636180355l/32058483._SX318_.jpg
BOOK_YP9SPNM1UQ,The Miracles of the Namiya General Store,"Keigo Higashino, Sam Bett, ",4.45,17423,3315,"When three delinquents hole up in an abandoned general store after their most recent robbery, to their great surprise, a letter drops through the mail slot in the store's shutter. This seemingly simple request for advice sets the trio on a journey of discovery as, over the course of a single night, they step into the role of the kindhearted former shopkeeper who devoted his waning years to offering thoughtful counsel to his correspondents. Through the lens of time, they share insight with those seeking guidance, and by morning, none of their lives will ever be the same.By acclaimed author Keigo Higashino, The Miracles of the Namiya General Store is a work that has touched the hearts of readers around the world.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564085721l/44287550.jpg
BOOK_WLQFZNNDRC,The Devotion of Suspect X,"Keigo Higashino, Alexander O. Smith, ",4.15,46391,6281,"Yasuko lives a quiet life, working in a Tokyo bento shop, a good mother to her only child. But when her ex-husband appears at her door without warning one day, her comfortable world is shattered. When Detective Kusanagi of the Tokyo Police tries to piece together the events of that day, he finds himself confronted by the most puzzling, mysterious circumstances he has ever investigated. Nothing quite makes sense, and it will take a genius to understand the genius behind this particular crime...",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312051518l/8686068.jpg
BOOK_G5T0AZN7F5,Salvation of a Saint,"Keigo Higashino, Alexander O. Smith, ",3.98,15744,2129,"In 2011, The Devotion of Suspect X was a hit with critics and readers alike. The first major English language publication from the most popular bestselling writer in Japan, it was acclaimed as “stunning,” “brilliant,” and “ingenious.” Now physics professor Manabu Yukawa—Detective Galileo—returns in a new case of impossible murder, where instincts clash with facts and theory with reality.Yoshitaka, who was about to leave his marriage and his wife, is poisoned by arsenic-laced coffee and dies. His wife, Ayane, is the logical suspect—except that she was hundreds of miles away when he was murdered. The lead detective, Tokyo Police Detective Kusanagi, is immediately smitten with her and refuses to believe that she could have had anything to do with the crime. His assistant, Kaoru Utsumi, however, is convinced Ayane is guilty. While Utsumi’s instincts tell her one thing, the facts of the case are another matter. So she does what her boss has done for years when stymied—she calls upon Professor Manabu Yukawa.But even the brilliant mind of Dr. Yukawa has trouble with this one, and he must somehow find a way to solve an impossible murder and capture a very real, very deadly murderer.Salvation for a Saint is Keigo Higashino at his mind-bending best, pitting emotion against fact in a beautifully plotted crime novel filled with twists and reverses that will astonish and surprise even the most attentive and jaded of readers.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495618717l/13506866._SX318_.jpg
BOOK_W76BL6M37I,Malice,"Keigo Higashino, Alexander O. Smith, ",4.01,17532,2768,"Acclaimed bestselling novelist Kunihiko Hidaka is found brutally murdered in his home on the night before he's planning to leave Japan and relocate to Vancouver. His body is found in his office, a locked room, within his locked house, by his wife and his best friend, both of whom have rock solid alibis. Or so it seems. At the crime scene, Police Detective Kyoichiro Kaga recognizes Hidaka's best friend, Osamu Nonoguchi. Years ago when they were both teachers, they were colleagues at the same public school. Kaga went on to join the police force while Nonoguchi eventually left to become a full-time writer, though with not nearly the success of his friend Hidaka. As Kaga investigates, he eventually uncovers evidence that indicates that the two writers' relationship was very different that they claimed, that they were anything but best friends. But the question before Kaga isn't necessarily who, or how, but why. In a brilliantly realized tale of cat and mouse, the detective and the killer battle over the truth of the past and how events that led to the murder really unfolded. And if Kaga isn't able to uncover and prove why the murder was committed, then the truth may never come out. Malice is one of the bestselling—the most acclaimed—novels in Keigo Higashino's series featuring police detective Kyoichiro Kaga, one of the most popular creations of the bestselling novelist in Asia.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497270264l/20613611._SY475_.jpg
BOOK_3HSVNN07P0,Journey Under the Midnight Sun,"Keigo Higashino, Alexander O. Smith, ",4.33,12141,1724,"When a man is found murdered in an abandoned building in Osaka in 1973, unflappable detective Sasagaki is assigned to the case. He begins to piece together the connection of two young people who are inextricably linked to the crime; the dark, taciturn son of the victim and the unexpectedly captivating daughter of the main suspect. Over the next twenty years we follow their lives as Sasagaki pursues the case - which remains unsolved - to the point of obsession. Stark, intriguing and stylish, Journey Under the Midnight Sun is an epic mystery by the bestselling Japanese author.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386409101l/19256975.jpg
BOOK_63IYUP5QFO,The Name of the Game is a Kidnapping,"Keigo Higashino, ",3.75,2256,411,"Sakuma is a high-profile ad agent who was about to land one of the biggest gigs of his career. But he was betrayed by the owner of the company that just hired him.Down on his luck and now on his way out career-wise, he planned to go publically chew out the man who brough him down. Instead, upon uncovering a deep secret, he devises a plan to bring down his new rival in a twisted game called kidnapping.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488294138l/28823155.jpg
BOOK_E1TG86J15G,Newcomer,"Keigo Higashino, Giles Murray, ",4.05,6665,1201,"Detective Kyoichiro Kaga of the Tokyo Police Department has just been transferred to a new precinct in the Nihonbashi area of Tokyo. Newly arrived, but with a great deal of experience, Kaga is promptly assigned to the team investigating the murder of a woman. But the more he investigates, the greater number of potential suspects emerges. It isn’t long before it seems nearly all the people living and working in the business district of Nihonbashi have a motive for murder. To prevent the murderer from eluding justice, Kaga must unravel all the secrets surrounding a complicated life. Buried somewhere in the woman’s past, in her family history, and the last few days of her life is the clue that will lead to the murderer.From the international bestseller Keigo Higashino, author of The Devotion of Suspect X, comes one of his finest works of crime fiction yet.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530346547l/33602102._SY475_.jpg
BOOK_KE894GWFR6,"Higashino Keigo no nazo : Higashino sakuhin no kenkyuÌ„, koÌ„satsu shuÌ„sei","Higashino Sakuhin KenkyuÌ„kai., ",0.00,0,0,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556702183l/45422650._SX318_.jpg
BOOK_ZO4ZFSWIH9,Naoko,"Keigo Higashino, Kerim Yasar, ",3.88,4561,723,There is no description.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388963920l/201271.jpg
